ID(ignored),x,y,z,station
0, 3.108809344823944, 1.4892549066657923, 0, 0
1, 22.282507946692796, 8.052690620807182, 0, 0
2, 47.83721081035708, 4.446255262622895, 0, 0
3, 66.672461881779, 9.406415123618144, 0, 0
4, 88.59328009431803, 8.460255406990306, 0, 0
5, 107.41957873645323, 2.1226374848247342, 0, 0
6, 123.04911814429394, 4.1552557363008304, 0, 0
7, 149.87756223077585, 6.093276996845992, 0, 0
8, 165.06518048762857, 3.5407605382904217, 0, 0
9, 185.63819953337193, 6.7475231338487776, 0, 0
10, 1.9248763661594082, 26.184710863453933, 0, 0
11, 23.440934173706562, 24.823114564278534, 0, 0
12, 40.21725746533994, 27.277623659767492, 0, 0
13, 67.16452431698796, 22.50134312260908, 0, 0
14, 80.39581910004728, 26.16878160487108, 0, 0
15, 106.7032237836081, 23.367488564750637, 0, 0
16, 123.09432553789469, 27.57577064429757, 0, 0
17, 144.58593596595756, 26.790460134252044, 0, 0
18, 161.92908308692114, 21.013889624890744, 0, 0
19, 187.08232488111415, 25.10389916352763, 0, 0
20, 9.041379044791642, 47.54698883879225, 0, 0
21, 22.63855024146902, 48.55787572587156, 0, 0
22, 45.21066720932544, 49.04622014827927, 0, 0
23, 68.378529684549, 48.20428469583807, 0, 0
24, 82.26808715444403, 49.24128916882289, 0, 0
25, 100.59652195157086, 45.1324908192587, 0, 0
26, 129.54729280587796, 42.321920514607015, 0, 0
27, 148.67276226007118, 41.12053366105017, 0, 0
28, 167.6560471919732, 40.640930177320186, 0, 0
29, 180.83423712526562, 41.404047419482936, 0, 0
30, 6.113927875456202, 63.036414234831255, 0, 0
31, 26.141194110015533, 62.031492948800874, 0, 0
32, 46.038366050604786, 66.95865233022917, 0, 0
33, 67.31756246886869, 61.59571707535465, 0, 0
34, 89.99186058987868, 60.7024205605998, 0, 0
35, 101.94897734263242, 67.22697144200242, 0, 0
36, 122.47194491731284, 66.62187298403104, 0, 0
37, 142.59372115649435, 67.69041904063162, 0, 0
38, 165.8039649260868, 63.21460255234585, 0, 0
39, 187.51970521459683, 68.06201167050139, 0, 0
40, 8.410162571745678, 84.50515994965112, 0, 0
41, 27.192199273761915, 83.49861620833019, 0, 0
42, 48.766682180251166, 89.67639502472183, 0, 0
43, 61.56367335525104, 87.90390797273093, 0, 0
44, 89.80357859089727, 85.12460622089652, 0, 0
45, 101.34224836714588, 84.68796108602253, 0, 0
46, 120.1952982070335, 80.59513414459232, 0, 0
47, 149.51107678533407, 83.96642980097624, 0, 0
48, 166.44022095498005, 86.64125102026061, 0, 0
49, 188.2603920079122, 82.6140071483099, 0, 0
50, 2.771996946821952, 104.59066909493166, 0, 0
51, 29.180338592399725, 105.35110328215764, 0, 0
52, 47.57298451056528, 102.54886127430971, 0, 0
53, 62.942371953778355, 102.44642425999395, 0, 0
54, 82.02052895944732, 109.85447721619487, 0, 0
55, 105.48688324281088, 109.32833852817124, 0, 0
56, 129.00549805429878, 101.28169326803612, 0, 0
57, 144.14484241829018, 109.70766475737614, 0, 0
58, 163.24623321199678, 109.03319650121198, 0, 0
59, 186.18432507106252, 106.62157759486279, 0, 0
