ID(ignored),x,y,z,station
0, 6.492221726278055, 8.210395826753494, 0, 0
1, 29.70825506464847, 5.587891297294178, 0, 0
2, 43.0436673760069, 7.415658445338482, 0, 0
3, 62.442359908668145, 2.57368636112561, 0, 0
4, 81.93306862202687, 4.078280645416444, 0, 0
5, 1.4968674712201768, 22.00325076030923, 0, 0
6, 21.04729694112848, 21.172029178151863, 0, 0
7, 44.049895368453086, 25.842148924105658, 0, 1
8, 67.30263552613233, 28.2653935498303, 0, 0
9, 81.25933896488537, 20.423791318892093, 0, 0
10, 0.6939151140239341, 46.79950622291893, 0, 0
11, 29.05349444477538, 40.062175420998265, 0, 0
12, 48.258938245316685, 47.20150789746677, 0, 0
13, 69.56717018065055, 47.68397926014886, 0, 0
14, 89.72923367710943, 48.796447704102896, 0, 0
15, 4.760901369010059, 65.9101210465917, 0, 0
16, 28.932718038317756, 69.90878503666313, 0, 0
17, 42.94826337420574, 67.28774950527004, 0, 0
18, 62.854963371219334, 64.5178170599105, 0, 0
19, 87.79710163827953, 68.20598800080093, 0, 0
